"가구일련번호","시군","입력된가구원수계","가구주와의관계","만나이","1.주택형태","2.점유형태","3.성별","5.가구주와의관계","6.교육정도","6.수학여부","7.혼인상태","8.사회복지우선지원분야","8-1.노인복지우선지원분야","9.노인이느끼는문제","10.노후준비","10-1.노후준비여부1_0","10-1.노후준비여부1_1","10-2.노후준비여부2","11.지역거주기간","11-1.향후거주의향","12.정주의식","13.주택만족도","14-1.소방시설_소화기비치유무","14-2.소방시설_주택화재경보기설치유무","14-1-1.소방시설_법제화인지여부","15.거주지소속감","16.거주지만족도","16-1.거주지불만족이유","17.필요공공시설_0","17.필요공공시설_1","18.이주계획","18-1.이주계획이유","18-2.이주계획지역","19.통근여부","19-1.통근지역위치","19-2.교통수단","19-3.통근시간_시간_통근시간","19-3.통근시간_시간_통근분","20-1.대중교통만족도_1지하철","20-2.대중교통만족도_2기차","20-3.대중교통만족도_3택시","20-4.대중교통만족도_4버스","20-1-1.대중교통만족도_4버스_만족이유_0","20-1-1.대중교통만족도_4버스_만족이유_1","20-1-2.대중교통만족도_4버스_개선사항_0","20-1-2.대중교통만족도_4버스_개선사항_1","21.공연및스포츠관람여부","21.공연및스포츠관람_유형_0","21.공연및스포츠관람_유형_1","21.공연및스포츠관람_유형_2","21.공연및스포츠관람_유형_3","21.공연및스포츠관람_유형_4","21.공연및스포츠관람_유형_5","21.공연및스포츠관람_유형_6","21.공연및스포츠관람_유형_7","21.공연및스포츠관람_음악","21.공연및스포츠관람_연극","21.공연및스포츠관람_무용","21.공연및스포츠관람_영화","21.공연및스포츠관람_박물관","21.공연및스포츠관람_미술관","21.공연및스포츠관람_스포츠","21.공연및스포츠관람_기타","22.평일주말시간_평일","22.평일주말시간_주말","23.주말휴일여가활용여부_0","23.주말휴일여가활용여부_1","23-1.여가생활만족도","23-1-1.여가생활불만족이유","24.관광여행여부","24-1.관광지정보습득경로","24-2.관광지선택이유","24-3.관광지우선추진분야","25.주된소득원_0","25.주된소득원_1","25-1.월평균가구소득","26.개인소득여부","26.개인소득만족도","27.소비생활만족도","28.소득분배정도","29.생활비지출","30.부채유무","30.부채원인","31.자원봉사참여","31-1.자원봉사참여_복지_횟수","31-1.자원봉사참여_복지_시간","31-2.자원봉사참여_환경_횟수","31-2.자원봉사참여_환경_시간","31-3.자원봉사참여_자녀_횟수","31-3.자원봉사참여_자녀_시간","31-4.자원봉사참여_행사_횟수","31-4.자원봉사참여_행사_시간","31-5.자원봉사참여_재해_횟수","31-5.자원봉사참여_재해_시간","31-6.자원봉사참여_봉사_횟수","31-6.자원봉사참여_봉사_시간","32.후원여부","32-1.후원여부_직접후원_횟수","32-2.후원여부_언론기관_횟수","32-3.후원여부_모금단체_횟수","32-4.후원여부_종교단체_횟수","32-5.후원여부_직장_횟수","32-6.후원여부_기타_횟수","33.삶의만족도","34.일의가치","35.대중에대한신뢰","36.사회적계층의식","37.직업선택요인","38.일자리창출","39.평소경제활동","39.평소경제활동_성별","39-1.산업_산업_산업코드","39-2.직업_직업_직업코드","39-3.평소경제활동_지위","39-3.평소경제활동_지위_임금근로자","39-3-1-1.근로여건만족도_하는일","39-3-1-2.근로여건만족도_임금수준","39-3-1-3.근로여건만족도_고용안정성","39-3-1-4.근로여건만족도_근무환경","39-3-1-5.근로여건만족도_근로시간","40.경력단절여성_직장여부","40-1.경력단절여성_그만둔이유_0","40-1.경력단절여성_그만둔이유_1","40-2.경력단절여성_직장복귀여부","40-2.경력단절여성_직장복귀여부_있다","40-2-1.경력단절여성_희망근로형태","40-2-1.경력단절여성_희망근로형태_근로시간유형","41.국민기초생활보장_대상자선정기준","41-1.국민기초생활보장_대상자개선분야","42.기초연금_대상자선정기준","42-1.기초연금_대상자개선분야","43.여성취업_어려운요인_수원","44.생활용품구입경로_수원","44-1.전통시장_이용여부_수원","44-2.전통시장_이용이유_수원","44-3.전통시장_미이용이유_수원","45.도서관_이용횟수_수원","45-1.도서관_이용이유_수원","45-2.도서관_이용만족도_수원","45-3.도서관_미이용이유_수원","46.도서관_활성화대책_수원","47.도시공원_이용여부_수원","47-1.도시공원_이용횟수_수원","47-2.도시공원_이용만족도_수원","47-3.도시공원_이용중불편한점_수원","48.스마트기기_사용용도_수원_0","48.스마트기기_사용용도_수원_1","49.의료기관_이용여부_수원","49-1.의료기관_이용기관_수원","49-2.의료기관_만족도_수원","49-3.의료기관_불만족이유_수원","50.보건소_이용여부_수원","50-1.보건소_만족도_수원","50-2.보건소_불만족이유_수원","50-3.보건소_향후이용서비스_수원","51.학교생활만족도_1교육내용_수원","51.학교생활만족도_2교육방법_수원","51.학교생활만족도_3교우관계_수원","51.학교생활만족도_4교사와관계_수원","51.학교생활만족도_5학교시설_수원","51.학교생활만족도_6학교환경_수원","51.학교생활만족도_7소질적성_수원","51.학교생활만족도_8전공_수원","51.학교생활만족도_9전반적학교생활_수원","52.분야별안전정도_1국가안보_수원","52.분야별안전정도_2자연재해_수원","52.분야별안전정도_3건축물_수원","52.분야별안전정도_4교통사고_수원","52.분야별안전정도_5화재_수원","52.분야별안전정도_6먹거리_수원","52.분야별안전정도_7정보보안_수원","52.분야별안전정도_8신종전염병_수원","52.분야별안전정도_9범죄위험_수원","52.분야별안전정도_10전반적인사회안전_수원","권역별","가구주 가중치","가구원 가중치"
F00129,수원시,3,2,49,,,2,2,4,1,2,2,7,4,1,1,5,,,,3,3,,,,2,4,4,4,,,,,1,1,2,0,40,3,2,3,1,2,3,,,1,4,,,,,,,,,,,4,,,,,3,3,1,6,4,5,1,1,2,5,,,,1,4,3,4,,,,2,,,,,,,,,,,,,2,,,,,,,3,3,3,4,2,1,1,,14,9,1,3,3,3,3,2,4,,,,,,,,3,,2,1,4,5,1,4,,5,,,3,5,1,2,1,6,1,4,1,1,2,,1,2,,2,,,,,,,,,,2,3,3,4,3,2,2,3,2,3,1,0,290.93
F00129,수원시,3,3,25,,,2,3,4,1,1,1,,4,1,1,4,,,,1,4,,,,4,4,4,2,,,,,1,2,3,1,0,2,2,5,5,,,2,6,2,,,,,,,,,,,,,,,,,1,3,1,9,5,2,1,1,2,2,,,,1,3,4,5,,,,2,,,,,,,,,,,,,1,,,1,,,,5,5,5,5,2,4,1,,8,3,1,1,2,4,3,5,4,,,,,,,,4,,4,,2,5,1,5,,5,,,3,4,1,2,4,5,4,8,1,3,1,,2,,,4,,,,,,,,,,4,4,4,3,3,3,4,4,4,3,1,0,423.2
F00130,수원시,2,1,54,3,1,1,1,8,3,2,1,,2,1,1,6,,10,3,3,3,2,2,3,3,2,,2,7,2,,,1,1,1,0,20,2,2,3,2,1,2,,,1,1,2,4,5,6,,,,3,1,,3,3,2,,,2,2,2,10,1,,1,1,2,5,1,2,5,1,3,3,5,1,2,,1,3,2,3,2,,,,,,,,,1,,,,10,,,1,2,2,3,4,3,1,,13,2,2,,,,,,,,,,,,,,3,,3,,1,5,1,4,,5,,,3,1,1,4,3,2,1,8,1,1,4,2,2,,,4,,,,,,,,,,3,3,3,2,2,4,4,3,3,4,1,308.85,305.23
F00130,수원시,2,2,52,,,2,2,6,1,2,1,,1,1,1,6,,,,4,3,,,,2,4,7,3,6,,,,1,1,1,0,20,1,1,3,2,1,2,,,1,1,2,4,5,6,,,,2,2,,3,1,2,,,2,2,1,10,4,5,1,1,1,1,,,,1,3,2,4,,,,1,,,,,,,1,4,,,,,1,,,12,,,,2,2,3,4,4,3,1,,13,3,1,2,3,3,3,2,3,,,,,,,,2,2,3,,4,3,1,4,,3,1,3,,1,1,2,1,5,5,7,1,1,4,4,2,,,5,,,,,,,,,,2,4,3,3,4,5,4,4,4,3,1,0,287.24
F00131,수원시,1,1,72,1,3,1,1,2,1,3,2,5,1,1,1,5,,50,1,3,3,2,2,3,3,3,,3,4,1,4,1,1,1,2,0,20,3,3,6,2,3,,,,2,,,,,,,,,,,,,,,,,1,4,1,9,3,,2,,,,1,,2,1,3,3,4,2,2,,2,,,,,,,,,,,,,2,,,,,,,4,3,4,4,2,1,1,,14,9,1,1,3,2,2,2,2,,,,,,,,3,,3,,2,1,1,3,,5,,,3,1,2,,,,9,1,1,1,2,,2,,,4,,,,,,,,,,4,3,4,2,4,3,3,3,4,3,1,251.11,292.35
F00132,수원시,1,1,57,1,3,2,1,4,1,4,3,,3,1,1,5,,40,2,3,2,2,2,2,3,3,,4,5,2,,,1,1,1,0,30,6,6,6,3,,,,,2,,,,,,,,,,,,,,,,,3,3,1,9,3,,2,,,,1,,3,1,3,3,4,1,2,,2,,,,,,,,,,,,,2,,,,,,,2,1,1,4,3,1,1,,8,8,1,1,2,2,2,4,3,,,,,,,,3,,3,,5,3,1,3,,5,,,1,4,1,2,2,5,1,8,1,1,1,,2,,,2,,,,,,,,,,2,3,3,2,2,3,4,2,4,2,1,251.11,287.24
F00133,수원시,1,1,39,1,3,1,1,4,1,1,1,,1,1,1,4,,39,2,1,3,2,2,2,3,2,,5,8,1,4,1,1,1,2,0,30,3,3,3,3,,,,,2,,,,,,,,,,,,,,,,,1,2,1,9,3,,2,,,,1,,3,1,3,3,3,2,2,,2,,,,,,,,,,,,,2,,,,,,,3,2,3,4,1,2,1,,7,8,1,1,3,3,3,3,3,,,,,,,,3,,3,,5,3,2,,1,5,,,3,4,2,,,,5,8,2,,,,2,,,2,,,,,,,,,,3,3,4,4,3,3,4,4,5,3,1,251.11,502.33
F00134,수원시,1,1,72,1,1,2,1,2,1,3,2,6,4,1,5,6,,50,1,3,2,2,2,3,4,2,,4,5,2,,,3,,,,,6,6,2,2,5,,,,2,,,,,,,,,,,,,,,,,3,4,9,,2,,2,,,,3,7,2,1,3,2,4,4,2,,2,,,,,,,,,,,,,2,,,,,,,2,2,2,4,2,1,2,1,,,,,,,,,,,,,,,,,4,,3,,1,4,1,3,,5,,,3,1,2,,,,9,1,1,2,2,,2,,,4,,,,,,,,,,3,5,4,4,4,3,3,3,4,4,1,251.11,272.98
F00135,수원시,3,1,52,1,3,2,1,4,1,2,5,,1,1,,,2,5,5,3,3,2,2,1,3,4,5,5,,2,,,3,,,,,3,3,3,4,,,5,7,1,7,,,,,,,,,,,,,,3,,3,4,1,8,3,,2,,,,2,3,3,1,4,4,4,2,1,4,2,,,,,,,,,,,,,2,,,,,,,3,3,2,4,2,3,2,1,,,,,,,,,,1,2,,2,,,,3,,3,,2,5,1,4,,5,,,3,5,2,,,,6,8,1,2,4,6,2,,,4,,,,,,,,,,4,4,4,4,3,4,2,4,4,4,1,251.11,287.24
F00135,수원시,3,3,21,,,1,3,6,2,1,1,,1,1,,,1,,,1,3,,,,2,3,,1,4,,,,2,1,2,0,40,3,3,3,2,1,2,,,1,7,,,,,,,,,,,,,,2,,1,2,7,,3,,2,,,,,,,2,,3,3,,,,2,,,,,,,,,,,,,2,,,,,,,3,3,3,3,5,1,2,2,,,,,,,,,,,,,,,,,4,,4,,2,5,2,,4,5,,,3,1,1,4,2,3,6,8,2,,,,2,,,5,3,4,3,3,3,3,4,3,3,3,3,3,3,4,3,3,2,2,3,1,0,367.43
F00135,수원시,3,3,28,,,2,3,5,5,1,1,,1,1,,,2,,,1,3,,,,2,3,,3,,,,,3,,,,,3,3,3,3,,,,,1,7,,,,,,,,,,,,,,2,,2,3,7,9,3,,2,,,,,,,2,,3,5,,,,2,,,,,,,,,,,,,2,,,,,,,3,3,3,4,5,2,2,1,,,,,,,,,,1,6,,2,,,,4,,4,,3,5,1,4,,5,,,3,1,2,,,,6,8,1,2,3,,2,,,3,,,,,,,,,,3,3,3,3,3,4,3,4,4,3,1,0,423.2
F00136,수원시,1,1,58,1,3,2,1,4,1,2,1,,4,1,2,,,1,5,4,2,2,2,1,2,4,4,7,,1,1,1,1,1,7,0,10,6,6,4,2,1,,,,1,1,4,6,,,,,,5,,,10,,2,,,2,3,2,5,4,1,1,3,1,1,1,,6,1,1,1,2,2,1,1,2,,,,,,,,,,,,,1,1,,,,,,2,2,3,3,3,3,1,,15,3,1,1,2,2,1,2,2,,,,,,,,2,2,3,,2,2,1,4,,4,1,1,,1,1,3,2,1,1,8,2,,,,2,,,5,,,,,,,,,,2,2,2,2,2,2,3,2,3,3,1,251.11,287.24
F00137,수원시,1,1,24,1,2,1,1,7,1,1,1,,4,1,1,,,1,4,4,3,2,1,1,3,2,,5,,1,4,1,1,1,2,0,15,3,3,3,5,,,3,5,2,,,,,,,,,,,,,,,,,2,4,8,9,2,,2,,,,1,,3,1,3,2,4,7,2,,2,,,,,,,,,,,,,1,,,12,,,,2,2,3,3,5,1,1,,13,2,1,1,2,3,1,1,2,,,,,,,,4,,4,,5,2,1,5,,5,,,3,3,1,1,2,5,3,6,2,,,,2,,,5,,,,,,,,,,4,2,3,3,3,1,2,2,1,2,1,251.11,367.43
F00138,수원시,1,1,62,1,2,1,1,6,1,4,2,7,2,1,,,2,2,3,1,2,2,2,2,3,4,4,2,4,1,5,1,1,1,2,0,20,3,6,3,2,1,,,,1,7,,,,,,,,,,,,,,4,,1,1,5,,4,4,2,,,,1,,2,1,3,3,4,4,2,,2,,,,,,,,,,,,,2,,,,,,,3,3,4,4,2,3,1,,6,7,1,3,3,3,4,3,3,,,,,,,,2,2,2,2,4,4,1,3,,5,,,3,2,2,,,,7,,2,,,,2,,,3,,,,,,,,,,4,3,3,4,4,3,3,3,4,5,1,251.11,292.35
F00139,수원시,2,1,66,1,3,1,1,6,5,2,5,,1,1,1,,,14,2,3,4,2,2,3,3,3,,5,,1,2,1,1,1,1,0,10,3,3,3,2,1,,,,2,,,,,,,,,,,,,,,,,1,1,1,9,3,,1,4,2,5,1,,1,1,5,5,4,2,1,4,2,,,,,,,,,,,,,2,,,,,,,4,2,3,6,1,6,1,,8,8,1,1,3,3,3,3,3,,,,,,,,4,,4,,4,2,1,3,,5,,,3,1,2,,,,5,,1,2,3,,2,,,4,,,,,,,,,,5,5,4,4,4,4,5,5,5,5,1,251.11,292.35
F00139,수원시,2,3,33,,,1,3,6,1,1,5,,4,1,,,2,,,3,5,,,,3,3,,2,5,,,,3,,,,,3,3,3,2,1,,,,1,4,,,,,,,,,,,3,,,,,2,2,1,2,3,,2,,,,,,,2,,5,4,,,,2,,,,,,,,,,,,,2,,,,,,,4,3,4,6,2,3,2,2,,,,,,,,,,,,,,,,,4,,4,,2,3,1,5,,4,4,3,,1,2,,,,1,5,2,,,,2,,,4,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,1,0,502.33
F00140,수원시,5,1,49,1,3,1,1,4,1,2,2,5,1,1,,,2,30,2,3,3,2,2,3,3,3,,2,5,2,,,1,1,1,0,30,6,6,6,6,,,,,1,1,2,4,5,6,,,,5,5,,5,3,3,,,1,1,2,3,2,,1,1,4,1,1,2,6,1,5,3,4,2,1,5,2,,,,,,,,,,,,,1,,,3,,,,3,3,3,5,2,3,1,,6,7,1,3,3,4,3,4,3,,,,,,,,2,3,2,2,4,4,1,3,,5,,,3,1,1,2,3,1,5,8,2,,,,2,,,5,,,,,,,,,,5,3,3,4,4,4,4,4,4,4,1,251.11,267.2
F00140,수원시,5,2,51,,,2,2,4,1,2,5,,1,1,1,,,,,1,3,,,,3,3,,4,5,,,,1,1,6,0,20,3,6,6,2,1,,,,1,1,2,3,4,,,,,2,1,1,2,,,,,2,3,1,9,4,1,1,4,3,5,,,,1,3,3,5,,,,2,,,,,,,,,,,,,2,,,,,,,3,3,3,4,2,3,1,,14,2,2,,,,,,,,,,,,,,3,,3,,1,4,2,,2,5,,,1,5,1,4,2,1,5,8,1,4,3,,2,,,5,,,,,,,,,,3,4,4,4,4,4,4,4,4,5,1,0,287.24
F00140,수원시,5,3,19,,,2,3,4,1,1,5,,1,1,,,2,,,1,3,,,,3,3,,2,,,,,1,1,6,0,15,2,3,3,3,,,,,1,4,7,,,,,,,,,,5,,,2,,1,1,9,,4,2,2,,,,,,,1,2,5,4,,,,2,,,,,,,,,,,,,1,,,1,,,,3,2,3,4,5,3,1,,9,4,1,2,3,2,2,3,4,,,,,,,,4,,4,,1,2,1,1,,5,,,3,3,1,5,3,4,4,8,1,5,3,,1,3,,5,,,,,,,,,,5,2,3,3,4,4,5,3,2,3,1,0,423.2
F00140,수원시,5,3,21,,,2,3,5,2,1,1,,1,1,,,1,,,1,3,,,,3,3,,2,6,,,,2,1,2,0,40,3,3,3,3,,,,,1,1,2,4,,,,,,2,1,,4,,,,,2,3,1,9,3,,1,1,2,4,,,,2,,3,4,,,,2,,,,,,,,,,,,,2,,,,,,,4,3,3,4,1,3,2,1,,,,,,,,,,2,,,,,,,4,,4,,1,5,2,,4,5,,,3,4,1,5,3,4,6,8,1,1,4,5,2,,,5,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,4,4,1,0,423.2
F00140,수원시,5,3,23,,,2,3,5,2,1,1,,4,1,,,2,,,1,4,,,,3,2,,2,8,,,,2,2,2,1,10,3,2,3,3,,,,,1,1,2,4,6,,,,,3,1,,5,,2,,,1,1,2,9,4,2,1,1,2,5,,,,1,3,3,4,,,,2,,,,,,,,,,,,,1,,,6,,,,2,2,3,3,2,3,1,,9,4,1,3,3,2,1,2,3,,,,,,,,4,,4,,1,2,1,1,,5,,,1,4,1,5,2,4,4,8,1,5,3,,1,3,,5,3,3,2,2,4,4,4,4,4,5,2,4,4,4,4,4,3,4,3,1,0,423.2
F00141,수원시,1,1,59,1,3,1,1,5,1,2,2,1,1,1,1,3,,3,1,1,3,2,2,3,3,3,,5,,1,1,3,1,1,1,0,15,6,6,3,1,2,,,,2,,,,,,,,,,,,,,,,,1,1,1,,2,,2,,,,1,,3,1,3,3,3,2,2,,2,,,,,,,,,,,,,2,,,,,,,3,1,3,3,2,3,1,,6,7,1,3,3,3,3,2,3,,,,,,,,4,,4,,1,4,1,1,,5,,,3,4,1,1,1,3,5,,2,,,,2,,,1,,,,,,,,,,3,3,3,3,3,3,4,3,4,4,1,251.11,305.23
F00142,수원시,1,1,42,1,3,2,1,6,1,1,3,,1,1,1,,,2,2,3,2,2,2,2,3,2,,8,,1,1,2,1,1,1,0,20,6,6,6,6,,,,,1,4,,,,,,,,,,,2,,,,,4,4,8,,2,,1,1,4,4,1,,2,1,2,3,3,1,1,1,2,,,,,,,,,,,,,2,,,,,,,3,3,3,4,1,1,1,,16,2,1,1,2,2,3,2,4,,,,,,,,4,,4,,4,1,1,1,,2,1,2,,1,1,2,2,5,5,8,1,1,1,,2,,,3,,,,,,,,,,3,3,3,3,4,4,3,3,4,3,1,251.11,290.93
F00143,수원시,1,1,51,1,3,1,1,5,5,1,5,,4,1,,,2,5,2,3,2,2,2,3,4,4,3,5,,1,7,1,1,1,2,1,0,2,2,2,2,1,,,,2,,,,,,,,,,,,,,,,,3,3,1,9,4,1,1,2,2,5,1,,6,1,3,4,5,2,1,1,1,10,1,,,,,,,,,,,1,10,,,,,,5,3,2,5,2,3,1,,6,9,1,3,2,4,4,3,3,,,,,,,,4,,4,,4,3,1,5,,5,,,1,5,2,,,,5,,1,1,2,,2,,,1,,,,,,,,,,1,3,3,4,3,3,4,4,4,3,1,251.11,305.23
F00144,수원시,1,1,45,1,4,1,1,5,1,1,1,,1,1,,,2,15,3,3,3,1,2,3,2,3,,5,8,2,,,1,1,2,0,50,6,3,3,1,1,2,,,2,,,,,,,,,,,,,,,,,4,2,1,8,3,,2,,,,1,,2,1,4,4,3,1,1,1,2,,,,,,,,,,,,,2,,,,,,,4,4,4,6,1,2,1,,6,7,1,3,4,4,4,3,4,,,,,,,,4,,4,,2,4,2,,1,5,,,3,1,2,,,,5,8,2,,,,2,,,5,,,,,,,,,,4,3,3,3,3,4,4,3,3,4,1,251.11,267.2
F00145,수원시,1,1,22,1,2,1,1,4,1,1,3,,1,1,1,,,1,3,3,3,1,1,2,3,4,2,2,8,1,7,3,1,1,2,0,20,3,3,3,1,3,,,,2,,,,,,,,,,,,,,,,,2,3,7,9,4,2,2,,,,1,,3,1,2,3,3,1,2,,2,,,,,,,,,,,,,2,,,,,,,3,3,3,5,1,3,1,,3,8,1,1,1,2,1,1,1,,,,,,,,3,,3,,4,5,2,,1,5,,,1,1,2,,,,3,8,1,1,4,1,2,,,3,,,,,,,,,,2,3,3,2,2,2,3,4,4,3,1,251.11,367.43
F00146,수원시,1,1,27,1,2,1,1,6,1,1,5,,4,1,1,5,,2,1,4,1,1,1,2,3,2,,5,8,2,,,1,3,1,1,15,6,6,6,1,1,2,,,2,,,,,,,,,,,,,,,,,2,3,3,10,1,,1,1,3,5,1,,3,1,2,3,2,2,1,1,2,,,,,,,,,,,,,1,12,,,,,,1,2,2,4,3,1,1,,7,3,1,1,2,3,3,2,3,,,,,,,,4,,4,,2,2,2,,1,5,,,2,1,2,,,,6,7,1,1,4,1,2,,,1,,,,,,,,,,5,3,3,3,3,3,3,3,4,4,1,251.11,367.43
F00147,수원시,3,1,47,1,2,1,1,4,1,2,5,,1,1,,,1,8,3,3,3,1,1,1,3,4,5,6,,2,,,1,3,1,1,10,2,3,3,2,2,,,,1,4,,,,,,,,,,,4,,,,,1,2,1,,4,1,1,1,2,2,1,2,4,1,5,4,5,3,1,1,2,,,,,,,,,,,,,2,,,,,,,3,2,3,6,3,3,1,,6,7,1,3,4,4,3,5,2,,,,,,,,4,,4,,1,2,1,5,,5,,,2,1,1,3,3,5,7,,1,4,2,,2,,,3,,,,,,,,,,4,3,3,4,4,3,3,3,4,4,1,251.11,267.2
F00147,수원시,3,2,42,,,2,2,4,4,2,4,,6,1,1,,,,,3,3,,,,3,3,,2,8,,,,1,2,2,1,0,6,6,6,1,1,5,,,1,4,,,,,,,,,,,4,,,,,1,3,1,9,1,,1,2,4,3,,,,1,4,2,4,,,,2,,,,,,,,,,,,,2,,,,,,,4,3,2,6,1,3,1,,3,4,1,1,2,2,1,1,1,,,,,,,,4,,4,,2,2,1,1,,5,,,1,5,1,5,1,5,5,,1,1,1,,1,1,,2,,,,,,,,,,4,2,5,5,5,4,4,4,5,5,1,0,290.93
F00148,수원시,1,1,27,1,2,1,1,6,1,1,1,,1,1,1,,,5,1,3,3,1,1,2,3,1,,5,8,1,4,1,1,1,1,0,30,6,6,6,2,1,2,,,1,1,4,,,,,,,6,,,12,,,,,2,2,2,8,2,,1,1,2,2,1,,5,1,3,2,2,7,2,,1,,,,,,,,,2,1,,,2,,,,,,,3,3,2,3,3,3,1,,10,2,1,1,2,3,3,3,3,,,,,,,,4,,4,,1,5,2,,1,5,,,1,1,1,3,1,1,6,,2,,,,2,,,1,,,,,,,,,,2,2,2,3,3,2,2,2,2,3,1,251.11,367.43
F00149,수원시,2,1,38,1,2,1,1,4,1,2,1,,3,1,2,,,5,3,3,3,1,1,2,3,3,,1,5,1,4,1,1,1,1,0,20,6,6,6,6,,,,,1,4,,,,,,,,,,,10,,,,,3,3,2,7,3,,1,1,1,5,1,2,4,1,3,3,5,1,1,1,2,,,,,,,,,,,,,1,,,2,,,,3,3,4,5,2,5,1,,15,4,1,2,3,3,4,3,3,,,,,,,,4,,4,,5,2,2,,1,5,,,3,5,1,2,3,3,5,8,1,1,5,3,2,,,1,,,,,,,,,,3,3,3,4,3,3,3,3,4,4,1,251.11,502.33
F00149,수원시,2,2,35,,,2,2,4,1,2,1,,4,1,1,5,,,,3,3,,,,3,4,2,2,6,,,,1,1,1,0,15,3,3,3,5,,,4,,1,2,4,5,6,,,,,,1,,6,1,1,,,2,2,1,2,4,8,1,1,1,5,,,,1,3,3,3,,,,2,,,,,,,,,,,,,2,,,,,,,3,2,3,4,4,4,1,,13,3,1,1,3,3,2,2,2,,,,,,,,4,,4,,4,2,1,1,,5,,,1,2,1,2,2,3,3,6,1,1,3,,1,2,,5,,,,,,,,,,3,3,3,3,3,3,3,4,4,4,1,0,310.05
F00150,수원시,2,1,35,1,3,1,1,5,1,2,1,,8,1,1,,,1,4,4,4,1,1,1,1,5,2,2,5,1,5,2,1,2,1,1,0,3,3,5,4,,,2,,2,,,,,,,,,,,,,,,,,1,1,1,,5,1,2,,,,1,,4,1,5,4,5,1,2,,2,,,,,,,,,,,,,2,,,,,,,3,3,4,5,2,1,1,,3,2,1,1,3,3,5,3,3,,,,,,,,4,,4,,4,2,2,,1,5,,,1,1,1,3,4,1,3,8,2,,,,2,,,5,,,,,,,,,,5,4,4,4,3,3,3,4,4,4,1,251.11,502.33
F00150,수원시,2,2,38,,,2,2,5,1,2,1,,1,1,,,2,,,4,5,,,,1,5,2,2,5,,,,3,,,,,3,3,5,2,1,2,,,2,,,,,,,,,,,,,,,,,3,3,1,,5,1,2,,,,,,,2,,5,4,,,,2,,,,,,,,,,,,,2,,,,,,,5,5,5,5,5,1,2,1,,,,,,,,,,1,9,,1,5,1,2,4,,4,,4,2,1,5,,5,,,3,1,2,,,,3,8,2,,,,2,,,1,,,,,,,,,,5,5,5,5,3,5,5,5,5,5,1,0,310.05
F00151,수원시,2,1,71,2,1,1,1,4,1,2,2,2,3,1,1,6,,70,1,1,3,1,,2,3,3,,5,,2,,,3,,,,,6,6,6,6,,,,,2,,,,,,,,,,,,,,,,,4,4,1,9,3,,2,,,,3,4,2,1,4,4,3,4,2,,2,,,,,,,,,,,,,2,,,,,,,4,3,2,3,3,3,2,2,,,,,,,,,,,,,,,,,4,,4,,5,3,2,,1,5,,,3,2,2,,,,5,,1,2,2,,2,,,2,,,,,,,,,,3,2,3,3,3,3,3,3,4,3,1,278.25,292.35
F00151,수원시,2,2,66,,,2,2,4,1,2,5,,3,1,6,,,,,3,3,,,,3,3,,1,,,,,3,,,,,6,6,6,2,1,3,,,2,,,,,,,,,,,,,,,,,2,2,1,9,4,2,1,4,4,5,,,,2,,2,5,,,,2,,,,,,,,,,,,,2,,,,,,,5,4,5,4,3,2,2,1,,,,,,,,,,,,,,,,,4,,4,,2,1,1,1,,5,,,3,2,2,,,,8,,1,2,2,,2,,,2,,,,,,,,,,4,4,4,5,3,3,3,4,5,4,1,0,272.98
F00152,수원시,3,1,71,2,1,1,1,4,5,2,3,,1,1,1,5,,40,1,3,2,1,,2,3,2,,4,,2,,,1,1,6,0,10,6,6,3,6,,,,,2,,,,,,,,,,,,,,,,,1,1,9,,4,1,2,,,,1,4,6,1,4,4,5,1,2,,2,,,,,,,,,,,,,2,,,,,,,3,2,3,4,1,2,1,,9,4,2,,,,,,,,,,,,,,4,,4,,4,3,1,1,,5,,,1,2,2,,,,5,,1,1,3,,2,,,2,,,,,,,,,,3,3,3,4,3,3,3,3,4,3,1,278.25,292.35
F00152,수원시,3,2,68,,,2,2,4,1,2,2,2,1,1,1,5,,,,3,1,,,,3,2,,4,,,,,1,1,6,0,10,6,6,6,6,,,,,2,,,,,,,,,,,,,,,,,1,1,9,,4,2,2,,,,,,,1,3,3,3,,,,2,,,,,,,,,,,,,2,,,,,,,3,3,2,3,2,5,1,,9,4,4,,,,,,,,,,,,,,4,,4,,5,3,1,1,,5,,,3,1,2,,,,4,5,2,,,,2,,,2,,,,,,,,,,5,3,2,3,3,4,4,4,3,3,1,0,272.98
F00152,수원시,3,3,27,,,1,3,4,5,1,3,,3,1,,,2,,,1,1,,,,3,3,,4,8,,,,1,1,6,0,10,6,6,3,3,,,,,1,7,,,,,,,,,,,,,,3,,2,2,4,5,2,,1,1,4,3,,,,1,3,3,4,,,,2,,,,,,,,,,,,,2,,,,,,,3,2,3,4,4,4,1,,9,4,1,1,3,3,1,3,2,,,,,,,,4,,4,,4,3,1,5,,5,,,3,4,2,,,,1,3,2,,,,2,,,4,,,,,,,,,,3,3,3,4,4,4,4,3,4,3,1,0,367.43
